time	V(v0)
0.000000000000000e+00	3.697646e-05
1.000000000000000e-12	9.373223e-04
9.503908982793094e-09	9.234271e-04
1.900681796558619e-08	9.049413e-04
2.850972694837929e-08	8.818648e-04
3.801263593117238e-08	8.541976e-04
4.751554491396548e-08	8.219397e-04
5.701845389675857e-08	7.850911e-04
6.652136287955165e-08	7.436518e-04
9.755200800363060e-08	6.327242e-04
1.456867750251684e-07	4.861103e-04
2.068591975090132e-07	3.499941e-04
3.068591975090132e-07	2.077686e-04
4.068591975090132e-07	1.254918e-04
5.068591975090132e-07	8.270749e-05
6.068591975090132e-07	6.046210e-05
8.068591975090132e-07	4.289681e-05
1.235430626080442e-06	4.012528e-05
1.664002054651870e-06	3.805195e-05
2.092573483223299e-06	3.667682e-05
2.521144911794728e-06	3.599987e-05
2.949716340366157e-06	3.602112e-05
3.378287768937585e-06	3.674056e-05
3.806859197509012e-06	3.815819e-05
1.392114491179487e-05	6.564701e-05
2.403543062608073e-05	1.164978e-04
3.414971634036658e-05	1.907104e-04
4.426400205465244e-05	2.882850e-04
5.437828776893830e-05	4.092216e-04
6.449257348322416e-05	5.535200e-04
7.460685919750998e-05	7.211804e-04
7.813543062608150e-05	7.831759e-04
8.166400205465302e-05	8.473134e-04
8.519257348322453e-05	9.135928e-04
8.872114491179604e-05	9.820142e-04
9.224971634036756e-05	1.052577e-03
9.577828776893908e-05	1.125283e-03
9.930685919751058e-05	1.200130e-03
9.940685919751059e-05	1.202277e-03
1.105068591975109e-04	1.453270e-03
1.216068591975111e-04	1.719443e-03
1.327068591975114e-04	2.000796e-03
1.438068591975117e-04	2.297330e-03
1.549068591975119e-04	2.609043e-03
1.660068591975122e-04	2.935937e-03
1.771068591975125e-04	3.278012e-03
1.806211449117982e-04	3.387875e-03
1.841354306260841e-04	3.498764e-03
1.876497163403699e-04	3.610676e-03
1.911640020546557e-04	3.723613e-03
1.946782877689415e-04	3.837575e-03
1.981925734832273e-04	3.952561e-03
2.017068591975131e-04	4.068572e-03
2.018068591975131e-04	4.071885e-03
2.127354306260848e-04	4.440113e-03
2.236640020546565e-04	4.814508e-03
2.345925734832282e-04	5.195068e-03
2.455211449117999e-04	5.581795e-03
2.564497163403715e-04	5.974688e-03
2.673782877689433e-04	6.373747e-03
2.783068591975149e-04	6.778972e-03
2.819925734832293e-04	6.915977e-03
2.856782877689437e-04	7.053335e-03
2.893640020546581e-04	7.191044e-03
2.930497163403724e-04	7.329106e-03
2.967354306260868e-04	7.467520e-03
3.004211449118012e-04	7.606287e-03
3.041068591975155e-04	7.745406e-03
3.042068591975156e-04	7.749183e-03
3.188211449118016e-04	8.305727e-03
3.334354306260877e-04	8.862736e-03
3.480497163403738e-04	9.420209e-03
3.626640020546598e-04	9.978147e-03
3.772782877689459e-04	1.053655e-02
3.918925734832320e-04	1.109541e-02
4.065068591975180e-04	1.165474e-02
4.066068591975180e-04	1.165855e-02
4.212211449118025e-04	1.221423e-02
