Freq.	V(v0)
1.60000000000000e+01	(1.06995579163218e+01dB,-1.12154361834352e+01°)
1.60368838092464e+01	(1.06988481285473e+01dB,-1.12406964041791e+01°)
1.60738526444543e+01	(1.06981351810488e+01dB,-1.12660108557830e+01°)
1.61109067016289e+01	(1.06974190602811e+01dB,-1.12913796368562e+01°)
1.61480461772269e+01	(1.06966997526456e+01dB,-1.13168028460668e+01°)
1.61852712681584e+01	(1.06959772444903e+01dB,-1.13422805821408e+01°)
1.62225821717869e+01	(1.06952515221092e+01dB,-1.13678129438615e+01°)
1.62599790859311e+01	(1.06945225717424e+01dB,-1.13934000300685e+01°)
1.62974622088659e+01	(1.06937903795761e+01dB,-1.14190419396567e+01°)
1.63350317393229e+01	(1.06930549317419e+01dB,-1.14447387715754e+01°)
1.63726878764921e+01	(1.06923162143173e+01dB,-1.14704906248277e+01°)
1.64104308200225e+01	(1.06915742133250e+01dB,-1.14962975984692e+01°)
1.64482607700236e+01	(1.06908289147329e+01dB,-1.15221597916072e+01°)
1.64861779270658e+01	(1.06900803044541e+01dB,-1.15480773033999e+01°)
1.65241824921824e+01	(1.06893283683465e+01dB,-1.15740502330553e+01°)
1.65622746668695e+01	(1.06885730922127e+01dB,-1.16000786798302e+01°)
1.66004546530882e+01	(1.06878144617998e+01dB,-1.16261627430296e+01°)
1.66387226532649e+01	(1.06870524627994e+01dB,-1.16523025220053e+01°)
1.66770788702929e+01	(1.06862870808471e+01dB,-1.16784981161553e+01°)
1.67155235075328e+01	(1.06855183015227e+01dB,-1.17047496249223e+01°)
1.67540567688144e+01	(1.06847461103499e+01dB,-1.17310571477934e+01°)
1.67926788584371e+01	(1.06839704927958e+01dB,-1.17574207842987e+01°)
1.68313899811716e+01	(1.06831914342713e+01dB,-1.17838406340102e+01°)
1.68701903422601e+01	(1.06824089201305e+01dB,-1.18103167965411e+01°)
1.69090801474185e+01	(1.06816229356707e+01dB,-1.18368493715447e+01°)
1.69480596028366e+01	(1.06808334661323e+01dB,-1.18634384587130e+01°)
1.69871289151796e+01	(1.06800404966983e+01dB,-1.18900841577764e+01°)
1.70262882915890e+01	(1.06792440124946e+01dB,-1.19167865685019e+01°)
1.70655379396841e+01	(1.06784439985894e+01dB,-1.19435457906924e+01°)
1.71048780675625e+01	(1.06776404399934e+01dB,-1.19703619241859e+01°)
1.71443088838017e+01	(1.06768333216592e+01dB,-1.19972350688540e+01°)
1.71838305974599e+01	(1.06760226284816e+01dB,-1.20241653246008e+01°)
1.72234434180773e+01	(1.06752083452970e+01dB,-1.20511527913623e+01°)
1.72631475556772e+01	(1.06743904568836e+01dB,-1.20781975691049e+01°)
1.73029432207670e+01	(1.06735689479609e+01dB,-1.21052997578243e+01°)
1.73428306243392e+01	(1.06727438031898e+01dB,-1.21324594575447e+01°)
1.73828099778730e+01	(1.06719150071722e+01dB,-1.21596767683173e+01°)
1.74228814933349e+01	(1.06710825444512e+01dB,-1.21869517902195e+01°)
1.74630453831801e+01	(1.06702463995102e+01dB,-1.22142846233536e+01°)
1.75033018603535e+01	(1.06694065567737e+01dB,-1.22416753678457e+01°)
1.75436511382909e+01	(1.06685630006062e+01dB,-1.22691241238444e+01°)
1.75840934309203e+01	(1.06677157153128e+01dB,-1.22966309915200e+01°)
1.76246289526626e+01	(1.06668646851384e+01dB,-1.23241960710630e+01°)
1.76652579184331e+01	(1.06660098942679e+01dB,-1.23518194626830e+01°)
1.77059805436426e+01	(1.06651513268260e+01dB,-1.23795012666076e+01°)
1.77467970441984e+01	(1.06642889668769e+01dB,-1.24072415830812e+01°)
1.77877076365054e+01	(1.06634227984242e+01dB,-1.24350405123636e+01°)
1.78287125374677e+01	(1.06625528054107e+01dB,-1.24628981547291e+01°)
