Record Length,20480,,Source,CH1
Sample Interval,CH1:0.0000399999990,,Second,Volt
Vertical Units,CH1:V,,-0.40959998965,-0.00056,
Vertical Scale,CH1:0.00,,-0.40955999494,-0.00072,
Vertical Offset,CH1:0.00124,,-0.40952000022,-0.00048,
Horizontal Units,s,,-0.40947997570,-0.00064,
Horizontal Scale,0.0250000004,,-0.40943998098,-0.00056,
Model Number,SDS1072CML+,,-0.40939998627,-0.00072,
Serial Number,SDS10BA3163350,,-0.40935999155,-0.00072,
Software Version,6.01.01.16,,-0.40931999683,-0.00056,
,,,-0.40928000212,-0.00056,
,,,-0.40923997760,-0.00072,
,,,-0.40919998288,-0.00056,
,,,-0.40915998816,-0.00056,
,,,-0.40911999345,-0.00056,
,,,-0.40907999873,-0.00072,
,,,-0.40904000401,-0.00064,
,,,-0.40899997950,-0.00072,
,,,-0.40895998478,-0.00056,
,,,-0.40891999006,-0.00064,
,,,-0.40887999535,-0.00072,
,,,-0.40884000063,-0.00072,
,,,-0.40879997611,-0.00056,
,,,-0.40875998139,-0.00048,
,,,-0.40871998668,-0.00048,
,,,-0.40867999196,-0.00048,
,,,-0.40863999724,-0.00048,
,,,-0.40860000253,-0.00064,
,,,-0.40855997801,-0.00064,
,,,-0.40851998329,-0.00072,
,,,-0.40847998857,-0.00072,
,,,-0.40843999386,-0.00048,
,,,-0.40839999914,-0.00048,
,,,-0.40836000443,-0.00072,
,,,-0.40831997991,-0.00056,
,,,-0.40827998519,-0.00072,
,,,-0.40823999047,-0.00056,
,,,-0.40819999576,-0.00072,
,,,-0.40816000104,-0.00072,
,,,-0.40811997652,-0.00056,
,,,-0.40807998180,-0.00056,
,,,-0.40803998709,-0.00072,
,,,-0.40799999237,-0.00072,
,,,-0.40795999765,-0.00064,
,,,-0.40792000294,-0.00072,
,,,-0.40787997842,-0.00056,
,,,-0.40783998370,-0.00056,
,,,-0.40779998899,-0.00072,
,,,-0.40775999427,-0.00056,
,,,-0.40771999955,-0.00056,
,,,-0.40767997503,-0.00064,
,,,-0.40763998032,-0.00064,
,,,-0.40759998560,-0.00072,
,,,-0.40755999088,-0.00056,
,,,-0.40751999617,-0.00056,
,,,-0.40748000145,-0.00056,
,,,-0.40743997693,-0.00072,
,,,-0.40739998221,-0.00072,
,,,-0.40735998750,-0.00056,
,,,-0.40731999278,-0.00072,
,,,-0.40727999806,-0.00056,
,,,-0.40724000335,-0.00072,
,,,-0.40719997883,-0.00072,
,,,-0.40715998411,-0.00072,
,,,-0.40711998940,-0.00056,
,,,-0.40707999468,-0.00072,
,,,-0.40703999996,-0.00072,
,,,-0.40699997544,-0.00080,
,,,-0.40695998073,-0.00072,
,,,-0.40691998601,-0.00072,
,,,-0.40687999129,-0.00056,
,,,-0.40683999658,-0.00072,
,,,-0.40680000186,-0.00072,
,,,-0.40675997734,-0.00056,
,,,-0.40671998262,-0.00048,
,,,-0.40667998791,-0.00048,
,,,-0.40663999319,-0.00056,
,,,-0.40659999847,-0.00072,
,,,-0.40656000376,-0.00072,
,,,-0.40651997924,-0.00056,
,,,-0.40647998452,-0.00056,
,,,-0.40643998981,-0.00072,
,,,-0.40639999509,-0.00056,
,,,-0.40636000037,-0.00072,
,,,-0.40631997585,-0.00064,
,,,-0.40627998114,-0.00064,
,,,-0.40623998642,-0.00072,
,,,-0.40619999170,-0.00072,
,,,-0.40615999699,-0.00072,
