Record Length,20480,,Source,CH2
Sample Interval, CH2:0.0000199999995,,Second,Volt
Vertical Units, CH2:V,,-0.20479999483,1.20000
Vertical Scale, CH2:1.00,,-0.20477999747,1.52000
Vertical Offset, CH2:0.00,,-0.20476000011,0.48000
Horizontal Units,s,,-0.20473998785,0.72000
Horizontal Scale,0.0099999998,,-0.20471999049,0.80000
Model Number,SDS1072CML+,,-0.20469999313,-0.16000
Serial Number,SDS10BA3163350,,-0.20467999578,0.48000
Software Version,6.01.01.16,,-0.20465999842,-0.88000
,,,-0.20464000106,-0.20000
,,,-0.20461998880,-1.04000
,,,-0.20459999144,-0.28000
,,,-0.20457999408,-1.36000
,,,-0.20455999672,-0.68000
,,,-0.20453999937,-1.52000
,,,-0.20452000201,-0.60000
,,,-0.20449998975,-1.36000
,,,-0.20447999239,-0.96000
,,,-0.20445999503,-1.40000
,,,-0.20443999767,-1.32000
,,,-0.20442000031,-0.76000
,,,-0.20439998806,-1.32000
,,,-0.20437999070,-0.28000
,,,-0.20435999334,-0.72000
,,,-0.20433999598,-0.20000
,,,-0.20431999862,0.20000
,,,-0.20430000126,-0.16000
,,,-0.20427998900,0.52000
,,,-0.20425999165,0.80000
,,,-0.20423999429,0.72000
,,,-0.20421999693,1.68000
,,,-0.20419999957,1.16000
,,,-0.20418000221,1.96000
,,,-0.20415998995,1.68000
,,,-0.20413999259,2.40000
,,,-0.20411999524,2.16000
,,,-0.20409999788,2.44000
,,,-0.20408000052,2.64000
,,,-0.20405998826,2.40000
,,,-0.20403999090,2.84000
,,,-0.20401999354,2.68000
,,,-0.20399999619,2.64000
,,,-0.20397999883,2.80000
,,,-0.20396000147,2.60000
,,,-0.20393998921,2.64000
,,,-0.20391999185,2.56000
,,,-0.20389999449,2.32000
,,,-0.20387999713,1.72000
,,,-0.20385999978,1.88000
,,,-0.20383998752,1.68000
,,,-0.20381999016,1.44000
,,,-0.20379999280,1.36000
,,,-0.20377999544,1.00000
,,,-0.20375999808,0.92000
,,,-0.20374000072,0.56000
,,,-0.20371998847,0.08000
,,,-0.20369999111,0.04000
,,,-0.20367999375,-0.32000
,,,-0.20365999639,-0.48000
,,,-0.20363999903,-0.72000
,,,-0.20362000167,-0.92000
,,,-0.20359998941,-0.92000
,,,-0.20357999206,-1.04000
,,,-0.20355999470,-1.24000
,,,-0.20353999734,-1.24000
,,,-0.20351999998,-1.16000
,,,-0.20349998772,-1.28000
,,,-0.20347999036,-1.28000
,,,-0.20345999300,-1.12000
,,,-0.20343999565,-0.76000
,,,-0.20341999829,-0.64000
,,,-0.20340000093,-0.60000
,,,-0.20337998867,-0.40000
,,,-0.20335999131,-0.48000
,,,-0.20333999395,-0.12000
,,,-0.20331999660,0.08000
,,,-0.20329999924,0.52000
,,,-0.20328000188,0.84000
,,,-0.20325998962,1.20000
,,,-0.20323999226,1.36000
,,,-0.20321999490,1.48000
