Freq.	V(n004)
1.00000000000000e+00	(1.99995121601551e+01dB,1.79999356546891e+02°)
2.00139987997600e+03	(1.99975125300895e+01dB,1.78712381371681e+02°)
4.00179975995199e+03	(1.99915231318883e+01dB,1.77426533905982e+02°)
6.00219963992799e+03	(1.99815603995439e+01dB,1.76142935097646e+02°)
8.00259951990398e+03	(1.99676515525730e+01dB,1.74862693587085e+02°)
1.00029993998800e+04	(1.99498343492082e+01dB,1.73586899765924e+02°)
1.20033992798560e+04	(1.99281567474487e+01dB,1.72316620080330e+02°)
1.40037991598320e+04	(1.99026764803216e+01dB,1.71052891653899e+02°)
1.60041990398080e+04	(1.98734605531057e+01dB,1.69796717292813e+02°)
1.80045989197840e+04	(1.98405846715640e+01dB,1.68549060930356e+02°)
2.00049987997600e+04	(1.98041326110195e+01dB,1.67310843553029e+02°)
2.20053986797359e+04	(1.97641955370176e+01dB,1.66082939646982e+02°)
2.40057985597119e+04	(1.97208712883188e+01dB,1.64866174181775e+02°)
2.60061984396879e+04	(1.96742636336772e+01dB,1.63661320154540e+02°)
2.80065983196639e+04	(1.96244815126742e+01dB,1.62469096681038e+02°)
3.00069981996399e+04	(1.95716382716601e+01dB,1.61290167640444e+02°)
3.20073980796159e+04	(1.95158509042072e+01dB,1.60125140847504e+02°)
3.40077979595919e+04	(1.94572393049719e+01dB,1.58974567725724e+02°)
3.60081978395679e+04	(1.93959255458551e+01dB,1.57838943465663e+02°)
3.80085977195439e+04	(1.93320331800393e+01dB,1.56718707605216e+02°)
4.00089975995199e+04	(1.92656865815131e+01dB,1.55614245020258e+02°)
4.20093974794959e+04	(1.91970103232831e+01dB,1.54525887255665e+02°)
4.40097973594719e+04	(1.91261285993399e+01dB,1.53453914172212e+02°)
4.60101972394479e+04	(1.90531646924846e+01dB,1.52398555855916e+02°)
4.80105971194239e+04	(1.89782404896178e+01dB,1.51359994741497e+02°)
5.00109969993999e+04	(1.89014760453042e+01dB,1.50338367910660e+02°)
5.20113968793759e+04	(1.88229891941285e+01dB,1.49333769527163e+02°)
5.40117967593518e+04	(1.87428952110576e+01dB,1.48346253370736e+02°)
5.60121966393278e+04	(1.86613065172548e+01dB,1.47375835418974e+02°)
5.80125965193038e+04	(1.85783324312285e+01dB,1.46422496466040e+02°)
