Freq.	V(n001)
1.00000000000000e+00	(-1.88869887050648e+01dB,-9.30847365116707e+01°)
1.25892541179417e+00	(-1.68957127668493e+01dB,-9.38805748982735e+01°)
1.58489319246111e+00	(-1.49095028803290e+01dB,-9.48796294810221e+01°)
1.99526231496888e+00	(-1.29312674505299e+01dB,-9.61317236349344e+01°)
2.51188643150958e+00	(-1.09655351408168e+01dB,-9.76968819422417e+01°)
3.16227766016838e+00	(-9.01928563696792e+00dB,-9.96454556471117e+01°)
3.98107170553497e+00	(-7.10310452454356e+00dB,-1.02056121132536e+02°)
5.01187233627272e+00	(-5.23264749815901e+00dB,-1.05009706753942e+02°)
6.30957344480194e+00	(-3.43018143208281e+00dB,-1.08575896247082e+02°)
7.94328234724282e+00	(-1.72552194138133e+00dB,-1.12789794022451e+02°)
1.00000000000000e+01	(-1.55049394617860e-01dB,-1.17618206197940e+02°)
1.25892541179417e+01	(1.24285672055922e+00dB,-1.22923723651329e+02°)
1.58489319246111e+01	(2.43658592832439e+00dB,-1.28446501543509e+02°)
1.99526231496888e+01	(3.41183596723838e+00dB,-1.33826984285338e+02°)
2.51188643150958e+01	(4.17850890208078e+00dB,-1.38672947749585e+02°)
3.16227766016838e+01	(4.76976458209609e+00dB,-1.42640606562080e+02°)
3.98107170553498e+01	(5.23458038130650e+00dB,-1.45488770402019e+02°)
5.01187233627273e+01	(5.62923062619023e+00dB,-1.47091381039773e+02°)
6.30957344480194e+01	(6.01182680723575e+00dB,-1.47426208405039e+02°)
7.94328234724283e+01	(6.44003350215808e+00dB,-1.46566207642083e+02°)
1.00000000000000e+02	(6.96917768633688e+00dB,-1.44686853680189e+02°)
1.25892541179417e+02	(7.64755868085814e+00dB,-1.42081882557478e+02°)
1.58489319246112e+02	(8.50791856327066e+00dB,-1.39162723644996e+02°)
1.99526231496888e+02	(9.55801509804127e+00dB,-1.36417137446477e+02°)
2.51188643150958e+02	(1.07758750132758e+01dB,-1.34328712236399e+02°)
3.16227766016838e+02	(1.21129584656256e+01dB,-1.33290588387733e+02°)
3.98107170553498e+02	(1.35030385132079e+01dB,-1.33547901807110e+02°)
5.01187233627273e+02	(1.48723473128267e+01dB,-1.35174827592115e+02°)
6.30957344480194e+02	(1.61490953373869e+01dB,-1.38072391899330e+02°)
7.94328234724283e+02	(1.72731871780265e+01dB,-1.41982181384847e+02°)
1.00000000000000e+03	(1.82058876367647e+01dB,-1.46528275512678e+02°)
1.25892541179417e+03	(1.89358141794264e+01dB,-1.51294322037900e+02°)
1.58489319246112e+03	(1.94771938833063e+01dB,-1.55913165178672e+02°)
1.99526231496888e+03	(1.98608813106085e+01dB,-1.60128772334702e+02°)
2.51188643150959e+03	(2.01232687433927e+01dB,-1.63809288778141e+02°)
3.16227766016839e+03	(2.02980416481281e+01dB,-1.66922675295320e+02°)
3.98107170553498e+03	(2.04123236363629e+01dB,-1.69499749493293e+02°)
5.01187233627273e+03	(2.04861212397501e+01dB,-1.71602184930975e+02°)
6.30957344480195e+03	(2.05333830855025e+01dB,-1.73301232405883e+02°)
7.94328234724283e+03	(2.05634882144111e+01dB,-1.74665993319893e+02°)
1.00000000000000e+04	(2.05825984362488e+01dB,-1.75758106117697e+02°)
1.25892541179417e+04	(2.05947024513017e+01dB,-1.76630090283349e+02°)
1.58489319246112e+04	(2.06023580778616e+01dB,-1.77325521331311e+02°)
1.99526231496889e+04	(2.06071958028890e+01dB,-1.77879988672771e+02°)
2.51188643150959e+04	(2.06102510613825e+01dB,-1.78322292070669e+02°)
3.16227766016839e+04	(2.06121798232267e+01dB,-1.78675619989576e+02°)
3.98107170553498e+04	(2.06133970131728e+01dB,-1.78958604738272e+02°)
5.01187233627274e+04	(2.06141648045452e+01dB,-1.79186224109922e+02°)
6.30957344480195e+04	(2.06146487033131e+01dB,-1.79370553431970e+02°)
7.94328234724284e+04	(2.06149530707830e+01dB,-1.79521385728137e+02°)
1.00000000000000e+05	(2.06151435695941e+01dB,-1.79646741741408e+02°)
1.25892541179417e+05	(2.06152613049863e+01dB,-1.79753291301818e+02°)
1.58489319246112e+05	(2.06153316846260e+01dB,-1.79846705624393e+02°)
1.99526231496889e+05	(2.06153698977865e+01dB,-1.79931957864314e+02°)
2.51188643150959e+05	(2.06153841919508e+01dB,1.79986412788191e+02°)
3.16227766016839e+05	(2.06153776522634e+01dB,1.79904059777417e+02°)
3.98107170553499e+05	(2.06153488672248e+01dB,1.79816597963064e+02°)
