vce	Ic(Q1)
-4.000000000000000e+00	-1.632786e-03
-3.990000000000000e+00	-1.632365e-03
-3.980000000000000e+00	-1.631944e-03
-3.970000000000001e+00	-1.631524e-03
-3.960000000000001e+00	-1.631103e-03
-3.950000000000001e+00	-1.630683e-03
-3.940000000000001e+00	-1.630262e-03
-3.930000000000001e+00	-1.629842e-03
-3.920000000000002e+00	-1.629421e-03
-3.910000000000002e+00	-1.629000e-03
-3.900000000000002e+00	-1.628580e-03
-3.890000000000002e+00	-1.628159e-03
-3.880000000000003e+00	-1.627739e-03
-3.870000000000003e+00	-1.627318e-03
-3.860000000000003e+00	-1.626897e-03
-3.850000000000003e+00	-1.626477e-03
-3.840000000000003e+00	-1.626056e-03
-3.830000000000004e+00	-1.625636e-03
-3.820000000000004e+00	-1.625215e-03
-3.810000000000004e+00	-1.624795e-03
-3.800000000000004e+00	-1.624374e-03
-3.790000000000004e+00	-1.623953e-03
-3.780000000000005e+00	-1.623533e-03
-3.770000000000005e+00	-1.623112e-03
-3.760000000000005e+00	-1.622692e-03
-3.750000000000005e+00	-1.622271e-03
-3.740000000000006e+00	-1.621851e-03
-3.730000000000006e+00	-1.621430e-03
-3.720000000000006e+00	-1.621009e-03
-3.710000000000006e+00	-1.620589e-03
-3.700000000000006e+00	-1.620168e-03
-3.690000000000007e+00	-1.619748e-03
-3.680000000000007e+00	-1.619327e-03
-3.670000000000007e+00	-1.618907e-03
-3.660000000000007e+00	-1.618486e-03
-3.650000000000007e+00	-1.618065e-03
-3.640000000000008e+00	-1.617645e-03
-3.630000000000008e+00	-1.617224e-03
-3.620000000000008e+00	-1.616804e-03
-3.610000000000008e+00	-1.616383e-03
-3.600000000000009e+00	-1.615962e-03
-3.590000000000009e+00	-1.615542e-03
-3.580000000000009e+00	-1.615121e-03
-3.570000000000009e+00	-1.614701e-03
-3.560000000000009e+00	-1.614280e-03
-3.550000000000010e+00	-1.613860e-03
-3.540000000000010e+00	-1.613439e-03
-3.530000000000010e+00	-1.613018e-03
-3.520000000000010e+00	-1.612598e-03
-3.510000000000010e+00	-1.612177e-03
-3.500000000000011e+00	-1.611757e-03
-3.490000000000011e+00	-1.611336e-03
-3.480000000000011e+00	-1.610916e-03
-3.470000000000011e+00	-1.610495e-03
-3.460000000000012e+00	-1.610074e-03
-3.450000000000012e+00	-1.609654e-03
-3.440000000000012e+00	-1.609233e-03
-3.430000000000012e+00	-1.608813e-03
-3.420000000000012e+00	-1.608392e-03
-3.410000000000013e+00	-1.607972e-03
-3.400000000000013e+00	-1.607551e-03
-3.390000000000013e+00	-1.607130e-03
-3.380000000000013e+00	-1.606710e-03
-3.370000000000013e+00	-1.606289e-03
-3.360000000000014e+00	-1.605869e-03
-3.350000000000014e+00	-1.605448e-03
-3.340000000000014e+00	-1.605028e-03
-3.330000000000014e+00	-1.604607e-03
-3.320000000000014e+00	-1.604186e-03
-3.310000000000015e+00	-1.603766e-03
-3.300000000000015e+00	-1.603345e-03
-3.290000000000015e+00	-1.602925e-03
-3.280000000000015e+00	-1.602504e-03
-3.270000000000016e+00	-1.602084e-03
-3.260000000000016e+00	-1.601663e-03
-3.250000000000016e+00	-1.601242e-03
-3.240000000000016e+00	-1.600822e-03
-3.230000000000016e+00	-1.600401e-03
-3.220000000000017e+00	-1.599981e-03
-3.210000000000017e+00	-1.599560e-03
-3.200000000000017e+00	-1.599140e-03
-3.190000000000017e+00	-1.598719e-03
-3.180000000000017e+00	-1.598298e-03
-3.170000000000018e+00	-1.597878e-03
-3.160000000000018e+00	-1.597457e-03
-3.150000000000018e+00	-1.597037e-03
-3.140000000000018e+00	-1.596616e-03
-3.130000000000019e+00	-1.596196e-03
-3.120000000000019e+00	-1.595775e-03
-3.110000000000019e+00	-1.595354e-03
-3.100000000000019e+00	-1.594934e-03
-3.090000000000019e+00	-1.594513e-03
-3.080000000000020e+00	-1.594093e-03
-3.070000000000020e+00	-1.593672e-03
-3.060000000000020e+00	-1.593251e-03
-3.050000000000020e+00	-1.592831e-03
-3.040000000000020e+00	-1.592410e-03
-3.030000000000021e+00	-1.591990e-03
-3.020000000000021e+00	-1.591569e-03
-3.010000000000021e+00	-1.591149e-03
-3.000000000000021e+00	-1.590728e-03
-2.990000000000022e+00	-1.590307e-03
-2.980000000000022e+00	-1.589887e-03
-2.970000000000022e+00	-1.589466e-03
-2.960000000000022e+00	-1.589046e-03
-2.950000000000022e+00	-1.588625e-03
-2.940000000000023e+00	-1.588205e-03
-2.930000000000023e+00	-1.587784e-03
-2.920000000000023e+00	-1.587363e-03
-2.910000000000023e+00	-1.586943e-03
-2.900000000000023e+00	-1.586522e-03
-2.890000000000024e+00	-1.586102e-03
-2.880000000000024e+00	-1.585681e-03
-2.870000000000024e+00	-1.585260e-03
-2.860000000000024e+00	-1.584840e-03
-2.850000000000025e+00	-1.584419e-03
-2.840000000000025e+00	-1.583999e-03
-2.830000000000025e+00	-1.583578e-03
-2.820000000000025e+00	-1.583158e-03
-2.810000000000025e+00	-1.582737e-03
-2.800000000000026e+00	-1.582316e-03
-2.790000000000026e+00	-1.581896e-03
-2.780000000000026e+00	-1.581475e-03
-2.770000000000026e+00	-1.581055e-03
-2.760000000000026e+00	-1.580634e-03
-2.750000000000027e+00	-1.580214e-03
-2.740000000000027e+00	-1.579793e-03
-2.730000000000027e+00	-1.579372e-03
-2.720000000000027e+00	-1.578952e-03
-2.710000000000027e+00	-1.578531e-03
-2.700000000000028e+00	-1.578111e-03
-2.690000000000028e+00	-1.577690e-03
-2.680000000000028e+00	-1.577270e-03
-2.670000000000028e+00	-1.576849e-03
-2.660000000000029e+00	-1.576428e-03
-2.650000000000029e+00	-1.576008e-03
-2.640000000000029e+00	-1.575587e-03
-2.630000000000029e+00	-1.575167e-03
-2.620000000000029e+00	-1.574746e-03
-2.610000000000030e+00	-1.574326e-03
-2.600000000000030e+00	-1.573905e-03
-2.590000000000030e+00	-1.573484e-03
-2.580000000000030e+00	-1.573064e-03
-2.570000000000030e+00	-1.572643e-03
-2.560000000000031e+00	-1.572223e-03
-2.550000000000031e+00	-1.571802e-03
-2.540000000000031e+00	-1.571382e-03
-2.530000000000031e+00	-1.570961e-03
-2.520000000000032e+00	-1.570540e-03
-2.510000000000032e+00	-1.570120e-03
-2.500000000000032e+00	-1.569699e-03
-2.490000000000032e+00	-1.569279e-03
-2.480000000000032e+00	-1.568858e-03
-2.470000000000033e+00	-1.568438e-03
-2.460000000000033e+00	-1.568017e-03
-2.450000000000033e+00	-1.567596e-03
-2.440000000000033e+00	-1.567176e-03
-2.430000000000033e+00	-1.566755e-03
-2.420000000000034e+00	-1.566335e-03
-2.410000000000034e+00	-1.565914e-03
-2.400000000000034e+00	-1.565494e-03
-2.390000000000034e+00	-1.565073e-03
-2.380000000000035e+00	-1.564652e-03
-2.370000000000035e+00	-1.564232e-03
-2.360000000000035e+00	-1.563811e-03
-2.350000000000035e+00	-1.563391e-03
-2.340000000000035e+00	-1.562970e-03
-2.330000000000036e+00	-1.562549e-03
-2.320000000000036e+00	-1.562129e-03
-2.310000000000036e+00	-1.561708e-03
-2.300000000000036e+00	-1.561288e-03
-2.290000000000036e+00	-1.560867e-03
-2.280000000000037e+00	-1.560447e-03
-2.270000000000037e+00	-1.560026e-03
-2.260000000000037e+00	-1.559605e-03
-2.250000000000037e+00	-1.559185e-03
-2.240000000000038e+00	-1.558764e-03
-2.230000000000038e+00	-1.558344e-03
-2.220000000000038e+00	-1.557923e-03
-2.210000000000038e+00	-1.557503e-03
-2.200000000000038e+00	-1.557082e-03
-2.190000000000039e+00	-1.556661e-03
-2.180000000000039e+00	-1.556241e-03
-2.170000000000039e+00	-1.555820e-03
-2.160000000000039e+00	-1.555400e-03
-2.150000000000039e+00	-1.554979e-03
-2.140000000000040e+00	-1.554559e-03
-2.130000000000040e+00	-1.554138e-03
-2.120000000000040e+00	-1.553717e-03
-2.110000000000040e+00	-1.553297e-03
-2.100000000000041e+00	-1.552876e-03
-2.090000000000041e+00	-1.552456e-03
-2.080000000000041e+00	-1.552035e-03
-2.070000000000041e+00	-1.551614e-03
-2.060000000000041e+00	-1.551194e-03
-2.050000000000042e+00	-1.550773e-03
-2.040000000000042e+00	-1.550353e-03
-2.030000000000042e+00	-1.549932e-03
-2.020000000000042e+00	-1.549512e-03
-2.010000000000042e+00	-1.549091e-03
-2.000000000000043e+00	-1.548670e-03
-1.990000000000043e+00	-1.548250e-03
-1.980000000000043e+00	-1.547829e-03
-1.970000000000043e+00	-1.547409e-03
-1.960000000000043e+00	-1.546988e-03
-1.950000000000043e+00	-1.546568e-03
-1.940000000000043e+00	-1.546147e-03
-1.930000000000043e+00	-1.545726e-03
-1.920000000000043e+00	-1.545306e-03
-1.910000000000043e+00	-1.544885e-03
-1.900000000000043e+00	-1.544465e-03
-1.890000000000043e+00	-1.544044e-03
-1.880000000000043e+00	-1.543624e-03
-1.870000000000043e+00	-1.543203e-03
-1.860000000000043e+00	-1.542782e-03
-1.850000000000042e+00	-1.542362e-03
-1.840000000000042e+00	-1.541941e-03
-1.830000000000042e+00	-1.541521e-03
-1.820000000000042e+00	-1.541100e-03
-1.810000000000042e+00	-1.540680e-03
-1.800000000000042e+00	-1.540259e-03
-1.790000000000042e+00	-1.539838e-03
-1.780000000000042e+00	-1.539418e-03
-1.770000000000042e+00	-1.538997e-03
-1.760000000000042e+00	-1.538577e-03
-1.750000000000042e+00	-1.538156e-03
-1.740000000000042e+00	-1.537736e-03
-1.730000000000042e+00	-1.537315e-03
-1.720000000000042e+00	-1.536894e-03
-1.710000000000042e+00	-1.536474e-03
-1.700000000000042e+00	-1.536053e-03
-1.690000000000042e+00	-1.535633e-03
-1.680000000000042e+00	-1.535212e-03
-1.670000000000042e+00	-1.534792e-03
-1.660000000000042e+00	-1.534371e-03
-1.650000000000042e+00	-1.533950e-03
-1.640000000000042e+00	-1.533530e-03
-1.630000000000042e+00	-1.533109e-03
-1.620000000000042e+00	-1.532689e-03
-1.610000000000042e+00	-1.532268e-03
-1.600000000000042e+00	-1.531848e-03
-1.590000000000042e+00	-1.531427e-03
-1.580000000000042e+00	-1.531006e-03
-1.570000000000042e+00	-1.530586e-03
-1.560000000000042e+00	-1.530165e-03
-1.550000000000042e+00	-1.529745e-03
-1.540000000000042e+00	-1.529324e-03
-1.530000000000042e+00	-1.528903e-03
-1.520000000000042e+00	-1.528483e-03
-1.510000000000042e+00	-1.528062e-03
-1.500000000000042e+00	-1.527642e-03
-1.490000000000042e+00	-1.527221e-03
-1.480000000000042e+00	-1.526801e-03
-1.470000000000042e+00	-1.526380e-03
-1.460000000000042e+00	-1.525959e-03
-1.450000000000042e+00	-1.525539e-03
-1.440000000000042e+00	-1.525118e-03
-1.430000000000042e+00	-1.524698e-03
-1.420000000000042e+00	-1.524277e-03
-1.410000000000042e+00	-1.523857e-03
-1.400000000000042e+00	-1.523436e-03
-1.390000000000042e+00	-1.523015e-03
-1.380000000000042e+00	-1.522595e-03
-1.370000000000042e+00	-1.522174e-03
-1.360000000000042e+00	-1.521754e-03
-1.350000000000042e+00	-1.521333e-03
-1.340000000000042e+00	-1.520913e-03
-1.330000000000042e+00	-1.520492e-03
-1.320000000000042e+00	-1.520071e-03
-1.310000000000042e+00	-1.519651e-03
-1.300000000000042e+00	-1.519230e-03
-1.290000000000042e+00	-1.518810e-03
-1.280000000000042e+00	-1.518389e-03
-1.270000000000042e+00	-1.517968e-03
-1.260000000000042e+00	-1.517548e-03
-1.250000000000042e+00	-1.517127e-03
-1.240000000000042e+00	-1.516707e-03
-1.230000000000042e+00	-1.516286e-03
-1.220000000000042e+00	-1.515866e-03
-1.210000000000042e+00	-1.515445e-03
-1.200000000000042e+00	-1.515024e-03
-1.190000000000042e+00	-1.514604e-03
-1.180000000000042e+00	-1.514183e-03
-1.170000000000042e+00	-1.513763e-03
-1.160000000000042e+00	-1.513342e-03
-1.150000000000042e+00	-1.512922e-03
-1.140000000000042e+00	-1.512501e-03
-1.130000000000042e+00	-1.512080e-03
-1.120000000000042e+00	-1.511660e-03
-1.110000000000042e+00	-1.511239e-03
-1.100000000000042e+00	-1.510819e-03
-1.090000000000042e+00	-1.510398e-03
-1.080000000000042e+00	-1.509978e-03
-1.070000000000042e+00	-1.509557e-03
-1.060000000000042e+00	-1.509136e-03
-1.050000000000042e+00	-1.508716e-03
-1.040000000000042e+00	-1.508295e-03
-1.030000000000042e+00	-1.507875e-03
-1.020000000000042e+00	-1.507454e-03
-1.010000000000042e+00	-1.507034e-03
-1.000000000000042e+00	-1.506613e-03
-9.900000000000417e-01	-1.506192e-03
-9.800000000000417e-01	-1.505772e-03
-9.700000000000417e-01	-1.505351e-03
-9.600000000000417e-01	-1.504931e-03
-9.500000000000417e-01	-1.504510e-03
-9.400000000000417e-01	-1.504090e-03
-9.300000000000417e-01	-1.503669e-03
-9.200000000000417e-01	-1.503248e-03
-9.100000000000417e-01	-1.502828e-03
-9.000000000000417e-01	-1.502407e-03
-8.900000000000416e-01	-1.501987e-03
-8.800000000000416e-01	-1.501566e-03
-8.700000000000416e-01	-1.501146e-03
-8.600000000000416e-01	-1.500725e-03
-8.500000000000416e-01	-1.500304e-03
-8.400000000000416e-01	-1.499884e-03
-8.300000000000416e-01	-1.499463e-03
-8.200000000000416e-01	-1.499043e-03
-8.100000000000416e-01	-1.498622e-03
-8.000000000000416e-01	-1.498202e-03
