vce	Ie(Q1)
-4.000000000000000e+00	1.643786e-03
-3.990000000000000e+00	1.643365e-03
-3.980000000000000e+00	1.642944e-03
-3.970000000000001e+00	1.642524e-03
-3.960000000000001e+00	1.642103e-03
-3.950000000000001e+00	1.641683e-03
-3.940000000000001e+00	1.641262e-03
-3.930000000000001e+00	1.640841e-03
-3.920000000000002e+00	1.640421e-03
-3.910000000000002e+00	1.640000e-03
-3.900000000000002e+00	1.639580e-03
-3.890000000000002e+00	1.639159e-03
-3.880000000000003e+00	1.638739e-03
-3.870000000000003e+00	1.638318e-03
-3.860000000000003e+00	1.637897e-03
-3.850000000000003e+00	1.637477e-03
-3.840000000000003e+00	1.637056e-03
-3.830000000000004e+00	1.636636e-03
-3.820000000000004e+00	1.636215e-03
-3.810000000000004e+00	1.635795e-03
-3.800000000000004e+00	1.635374e-03
-3.790000000000004e+00	1.634953e-03
-3.780000000000005e+00	1.634533e-03
-3.770000000000005e+00	1.634112e-03
-3.760000000000005e+00	1.633692e-03
-3.750000000000005e+00	1.633271e-03
-3.740000000000006e+00	1.632851e-03
-3.730000000000006e+00	1.632430e-03
-3.720000000000006e+00	1.632009e-03
-3.710000000000006e+00	1.631589e-03
-3.700000000000006e+00	1.631168e-03
-3.690000000000007e+00	1.630748e-03
-3.680000000000007e+00	1.630327e-03
-3.670000000000007e+00	1.629907e-03
-3.660000000000007e+00	1.629486e-03
-3.650000000000007e+00	1.629065e-03
-3.640000000000008e+00	1.628645e-03
-3.630000000000008e+00	1.628224e-03
-3.620000000000008e+00	1.627804e-03
-3.610000000000008e+00	1.627383e-03
-3.600000000000009e+00	1.626963e-03
-3.590000000000009e+00	1.626542e-03
-3.580000000000009e+00	1.626121e-03
-3.570000000000009e+00	1.625701e-03
-3.560000000000009e+00	1.625280e-03
-3.550000000000010e+00	1.624860e-03
-3.540000000000010e+00	1.624439e-03
-3.530000000000010e+00	1.624019e-03
-3.520000000000010e+00	1.623598e-03
-3.510000000000010e+00	1.623177e-03
-3.500000000000011e+00	1.622757e-03
-3.490000000000011e+00	1.622336e-03
-3.480000000000011e+00	1.621916e-03
-3.470000000000011e+00	1.621495e-03
-3.460000000000012e+00	1.621075e-03
-3.450000000000012e+00	1.620654e-03
-3.440000000000012e+00	1.620233e-03
-3.430000000000012e+00	1.619813e-03
-3.420000000000012e+00	1.619392e-03
-3.410000000000013e+00	1.618972e-03
-3.400000000000013e+00	1.618551e-03
-3.390000000000013e+00	1.618130e-03
-3.380000000000013e+00	1.617710e-03
-3.370000000000013e+00	1.617289e-03
-3.360000000000014e+00	1.616869e-03
-3.350000000000014e+00	1.616448e-03
-3.340000000000014e+00	1.616028e-03
-3.330000000000014e+00	1.615607e-03
-3.320000000000014e+00	1.615186e-03
-3.310000000000015e+00	1.614766e-03
-3.300000000000015e+00	1.614345e-03
-3.290000000000015e+00	1.613925e-03
-3.280000000000015e+00	1.613504e-03
-3.270000000000016e+00	1.613084e-03
-3.260000000000016e+00	1.612663e-03
-3.250000000000016e+00	1.612242e-03
-3.240000000000016e+00	1.611822e-03
-3.230000000000016e+00	1.611401e-03
-3.220000000000017e+00	1.610981e-03
-3.210000000000017e+00	1.610560e-03
-3.200000000000017e+00	1.610140e-03
-3.190000000000017e+00	1.609719e-03
-3.180000000000017e+00	1.609298e-03
-3.170000000000018e+00	1.608878e-03
-3.160000000000018e+00	1.608457e-03
-3.150000000000018e+00	1.608037e-03
-3.140000000000018e+00	1.607616e-03
-3.130000000000019e+00	1.607195e-03
-3.120000000000019e+00	1.606775e-03
-3.110000000000019e+00	1.606354e-03
-3.100000000000019e+00	1.605934e-03
-3.090000000000019e+00	1.605513e-03
-3.080000000000020e+00	1.605093e-03
-3.070000000000020e+00	1.604672e-03
-3.060000000000020e+00	1.604251e-03
-3.050000000000020e+00	1.603831e-03
-3.040000000000020e+00	1.603410e-03
-3.030000000000021e+00	1.602990e-03
-3.020000000000021e+00	1.602569e-03
-3.010000000000021e+00	1.602149e-03
-3.000000000000021e+00	1.601728e-03
-2.990000000000022e+00	1.601307e-03
-2.980000000000022e+00	1.600887e-03
-2.970000000000022e+00	1.600466e-03
