vbe	Ib(Q1)
-8.000000000000000e-01	-7.284853e-03
-7.990000000000000e-01	-7.177255e-03
-7.980000000000000e-01	-7.070637e-03
-7.970000000000000e-01	-6.964996e-03
-7.960000000000000e-01	-6.860325e-03
-7.950000000000000e-01	-6.756621e-03
-7.940000000000000e-01	-6.653881e-03
-7.930000000000000e-01	-6.552098e-03
-7.920000000000000e-01	-6.451270e-03
-7.910000000000000e-01	-6.351391e-03
-7.900000000000000e-01	-6.252458e-03
-7.890000000000000e-01	-6.154467e-03
-7.880000000000000e-01	-6.057415e-03
-7.870000000000000e-01	-5.961296e-03
-7.860000000000000e-01	-5.866107e-03
-7.850000000000000e-01	-5.771845e-03
-7.840000000000000e-01	-5.678505e-03
-7.830000000000000e-01	-5.586085e-03
-7.820000000000000e-01	-5.494581e-03
-7.810000000000000e-01	-5.403989e-03
-7.800000000000000e-01	-5.314305e-03
-7.790000000000000e-01	-5.225528e-03
-7.780000000000000e-01	-5.137653e-03
-7.770000000000000e-01	-5.050676e-03
-7.760000000000000e-01	-4.964596e-03
-7.750000000000000e-01	-4.879409e-03
-7.740000000000000e-01	-4.795111e-03
-7.730000000000000e-01	-4.711701e-03
-7.720000000000000e-01	-4.629175e-03
-7.710000000000000e-01	-4.547529e-03
-7.700000000000000e-01	-4.466763e-03
-7.690000000000000e-01	-4.386873e-03
-7.680000000000000e-01	-4.307855e-03
-7.670000000000000e-01	-4.229709e-03
-7.660000000000000e-01	-4.152430e-03
-7.650000000000000e-01	-4.076017e-03
-7.640000000000000e-01	-4.000467e-03
-7.630000000000000e-01	-3.925778e-03
-7.620000000000000e-01	-3.851946e-03
-7.610000000000000e-01	-3.778972e-03
-7.600000000000000e-01	-3.706851e-03
-7.590000000000000e-01	-3.635582e-03
-7.580000000000000e-01	-3.565162e-03
-7.570000000000000e-01	-3.495589e-03
-7.560000000000000e-01	-3.426861e-03
-7.550000000000000e-01	-3.358977e-03
-7.540000000000000e-01	-3.291933e-03
-7.530000000000000e-01	-3.225728e-03
-7.520000000000000e-01	-3.160360e-03
-7.510000000000000e-01	-3.095827e-03
-7.500000000000000e-01	-3.032126e-03
-7.490000000000000e-01	-2.969256e-03
-7.480000000000000e-01	-2.907214e-03
-7.470000000000000e-01	-2.845999e-03
-7.460000000000000e-01	-2.785608e-03
-7.450000000000000e-01	-2.726039e-03
-7.440000000000000e-01	-2.667291e-03
-7.430000000000000e-01	-2.609361e-03
-7.420000000000000e-01	-2.552247e-03
-7.410000000000000e-01	-2.495947e-03
-7.400000000000000e-01	-2.440458e-03
-7.390000000000000e-01	-2.385778e-03
-7.380000000000000e-01	-2.331905e-03
-7.370000000000000e-01	-2.278837e-03
-7.360000000000000e-01	-2.226571e-03
-7.350000000000000e-01	-2.175104e-03
-7.340000000000000e-01	-2.124435e-03
-7.330000000000000e-01	-2.074559e-03
-7.320000000000000e-01	-2.025475e-03
-7.310000000000000e-01	-1.977179e-03
-7.300000000000000e-01	-1.929670e-03
-7.290000000000000e-01	-1.882942e-03
-7.280000000000000e-01	-1.836994e-03
-7.270000000000000e-01	-1.791822e-03
-7.260000000000000e-01	-1.747423e-03
-7.250000000000000e-01	-1.703793e-03
-7.240000000000000e-01	-1.660928e-03
-7.230000000000000e-01	-1.618825e-03
-7.220000000000000e-01	-1.577479e-03
-7.210000000000000e-01	-1.536887e-03
-7.200000000000000e-01	-1.497045e-03
-7.190000000000000e-01	-1.457947e-03
-7.180000000000000e-01	-1.419589e-03
-7.170000000000000e-01	-1.381967e-03
-7.160000000000000e-01	-1.345075e-03
-7.150000000000000e-01	-1.308909e-03
-7.140000000000000e-01	-1.273463e-03
-7.130000000000000e-01	-1.238732e-03
-7.120000000000000e-01	-1.204711e-03
-7.110000000000000e-01	-1.171392e-03
-7.100000000000000e-01	-1.138771e-03
-7.090000000000000e-01	-1.106841e-03
-7.080000000000000e-01	-1.075597e-03
-7.070000000000000e-01	-1.045030e-03
-7.060000000000000e-01	-1.015136e-03
-7.050000000000000e-01	-9.859063e-04
-7.040000000000000e-01	-9.573346e-04
-7.030000000000000e-01	-9.294135e-04
-7.020000000000000e-01	-9.021357e-04
-7.010000000000000e-01	-8.754936e-04
-7.000000000000000e-01	-8.494796e-04
-6.990000000000000e-01	-8.240858e-04
-6.980000000000000e-01	-7.993042e-04
-6.970000000000000e-01	-7.751267e-04
-6.960000000000000e-01	-7.515449e-04
-6.950000000000000e-01	-7.285505e-04
-6.940000000000000e-01	-7.061349e-04
-6.929999999999999e-01	-6.842894e-04
-6.919999999999999e-01	-6.630054e-04
-6.909999999999999e-01	-6.422739e-04
-6.899999999999999e-01	-6.220859e-04
-6.889999999999999e-01	-6.024325e-04
-6.879999999999999e-01	-5.833046e-04
-6.869999999999999e-01	-5.646928e-04
-6.859999999999999e-01	-5.465881e-04
-6.849999999999999e-01	-5.289810e-04
-6.839999999999999e-01	-5.118623e-04
-6.829999999999999e-01	-4.952227e-04
-6.819999999999999e-01	-4.790527e-04
-6.809999999999999e-01	-4.633429e-04
-6.799999999999999e-01	-4.480841e-04
-6.789999999999999e-01	-4.332666e-04
-6.779999999999999e-01	-4.188813e-04
-6.769999999999999e-01	-4.049188e-04
-6.759999999999999e-01	-3.913697e-04
-6.749999999999999e-01	-3.782249e-04
-6.739999999999999e-01	-3.654750e-04
-6.729999999999999e-01	-3.531110e-04
-6.719999999999999e-01	-3.411237e-04
-6.709999999999999e-01	-3.295041e-04
-6.699999999999999e-01	-3.182433e-04
-6.689999999999999e-01	-3.073324e-04
-6.679999999999999e-01	-2.967627e-04
-6.669999999999999e-01	-2.865255e-04
-6.659999999999999e-01	-2.766122e-04
-6.649999999999999e-01	-2.670145e-04
-6.639999999999999e-01	-2.577239e-04
-6.629999999999999e-01	-2.487324e-04
-6.619999999999999e-01	-2.400317e-04
-6.609999999999999e-01	-2.316139e-04
-6.599999999999999e-01	-2.234712e-04
-6.589999999999999e-01	-2.155959e-04
-6.579999999999999e-01	-2.079804e-04
-6.569999999999999e-01	-2.006173e-04
-6.559999999999999e-01	-1.934994e-04
-6.549999999999999e-01	-1.866195e-04
-6.539999999999999e-01	-1.799705e-04
-6.529999999999999e-01	-1.735457e-04
-6.519999999999999e-01	-1.673383e-04
-6.509999999999999e-01	-1.613418e-04
-6.499999999999999e-01	-1.555498e-04
-6.489999999999999e-01	-1.499560e-04
-6.479999999999999e-01	-1.445542e-04
-6.469999999999999e-01	-1.393386e-04
-6.459999999999999e-01	-1.343032e-04
-6.449999999999999e-01	-1.294424e-04
-6.439999999999999e-01	-1.247507e-04
-6.429999999999999e-01	-1.202226e-04
-6.419999999999999e-01	-1.158529e-04
-6.409999999999999e-01	-1.116364e-04
-6.399999999999999e-01	-1.075683e-04
-6.389999999999999e-01	-1.036435e-04
-6.379999999999999e-01	-9.985753e-05
-6.369999999999999e-01	-9.620567e-05
-6.359999999999999e-01	-9.268347e-05
-6.349999999999999e-01	-8.928663e-05
-6.339999999999999e-01	-8.601095e-05
-6.329999999999999e-01	-8.285234e-05
-6.319999999999999e-01	-7.980685e-05
-6.309999999999999e-01	-7.687063e-05
-6.299999999999999e-01	-7.403997e-05
-6.289999999999999e-01	-7.131125e-05
-6.279999999999999e-01	-6.868096e-05
-6.269999999999999e-01	-6.614572e-05
-6.259999999999999e-01	-6.370225e-05
-6.249999999999999e-01	-6.134735e-05
-6.239999999999999e-01	-5.907794e-05
-6.229999999999999e-01	-5.689104e-05
-6.219999999999999e-01	-5.478376e-05
-6.209999999999999e-01	-5.275330e-05
-6.199999999999999e-01	-5.079696e-05
-6.189999999999999e-01	-4.891212e-05
-6.179999999999999e-01	-4.709624e-05
-6.169999999999999e-01	-4.534689e-05
-6.159999999999999e-01	-4.366170e-05
-6.149999999999999e-01	-4.203837e-05
-6.139999999999999e-01	-4.047470e-05
-6.129999999999999e-01	-3.896856e-05
-6.119999999999999e-01	-3.751787e-05
-6.109999999999999e-01	-3.612065e-05
