vbe	Ic(Q1)
-8.000000000000000e-01	-8.021384e-01
-7.990000000000000e-01	-7.932687e-01
-7.980000000000000e-01	-7.844123e-01
-7.970000000000000e-01	-7.755701e-01
-7.960000000000000e-01	-7.667428e-01
-7.950000000000000e-01	-7.579311e-01
-7.940000000000000e-01	-7.491359e-01
-7.930000000000000e-01	-7.403580e-01
-7.920000000000000e-01	-7.315981e-01
-7.910000000000000e-01	-7.228570e-01
-7.900000000000000e-01	-7.141355e-01
-7.890000000000000e-01	-7.054346e-01
-7.880000000000000e-01	-6.967548e-01
-7.870000000000000e-01	-6.880972e-01
-7.860000000000000e-01	-6.794625e-01
-7.850000000000000e-01	-6.708516e-01
-7.840000000000000e-01	-6.622652e-01
-7.830000000000000e-01	-6.537044e-01
-7.820000000000000e-01	-6.451699e-01
-7.810000000000000e-01	-6.366626e-01
-7.800000000000000e-01	-6.281834e-01
-7.790000000000000e-01	-6.197331e-01
-7.780000000000000e-01	-6.113127e-01
-7.770000000000000e-01	-6.029230e-01
-7.760000000000000e-01	-5.945649e-01
-7.750000000000000e-01	-5.862393e-01
-7.740000000000000e-01	-5.779473e-01
-7.730000000000000e-01	-5.696896e-01
-7.720000000000000e-01	-5.614672e-01
-7.710000000000000e-01	-5.532810e-01
-7.700000000000000e-01	-5.451320e-01
-7.690000000000000e-01	-5.370210e-01
-7.680000000000000e-01	-5.289492e-01
-7.670000000000000e-01	-5.209173e-01
-7.660000000000000e-01	-5.129263e-01
-7.650000000000000e-01	-5.049773e-01
-7.640000000000000e-01	-4.970711e-01
-7.630000000000000e-01	-4.892088e-01
-7.620000000000000e-01	-4.813912e-01
-7.610000000000000e-01	-4.736194e-01
-7.600000000000000e-01	-4.658943e-01
-7.590000000000000e-01	-4.582170e-01
-7.580000000000000e-01	-4.505883e-01
-7.570000000000000e-01	-4.430092e-01
-7.560000000000000e-01	-4.354808e-01
-7.550000000000000e-01	-4.280040e-01
-7.540000000000000e-01	-4.205797e-01
-7.530000000000000e-01	-4.132090e-01
-7.520000000000000e-01	-4.058928e-01
-7.510000000000000e-01	-3.986320e-01
