vbe	Ie(Q1)
-8.000000000000000e-01	8.094233e-01
-7.990000000000000e-01	8.004460e-01
-7.980000000000000e-01	7.914830e-01
-7.970000000000000e-01	7.825351e-01
-7.960000000000000e-01	7.736031e-01
-7.950000000000000e-01	7.646877e-01
-7.940000000000000e-01	7.557898e-01
-7.930000000000000e-01	7.469101e-01
-7.920000000000000e-01	7.380493e-01
-7.910000000000000e-01	7.292084e-01
-7.900000000000000e-01	7.203880e-01
-7.890000000000000e-01	7.115890e-01
-7.880000000000000e-01	7.028123e-01
-7.870000000000000e-01	6.940585e-01
-7.860000000000000e-01	6.853286e-01
-7.850000000000000e-01	6.766234e-01
-7.840000000000000e-01	6.679438e-01
-7.830000000000000e-01	6.592905e-01
-7.820000000000000e-01	6.506645e-01
-7.810000000000000e-01	6.420666e-01
-7.800000000000000e-01	6.334977e-01
-7.790000000000000e-01	6.249586e-01
-7.780000000000000e-01	6.164503e-01
-7.770000000000000e-01	6.079736e-01
-7.760000000000000e-01	5.995295e-01
-7.750000000000000e-01	5.911188e-01
-7.740000000000000e-01	5.827424e-01
-7.730000000000000e-01	5.744013e-01
-7.720000000000000e-01	5.660964e-01
-7.710000000000000e-01	5.578285e-01
-7.700000000000000e-01	5.495988e-01
-7.690000000000000e-01	5.414079e-01
-7.680000000000000e-01	5.332571e-01
-7.670000000000000e-01	5.251470e-01
-7.660000000000000e-01	5.170788e-01
-7.650000000000000e-01	5.090533e-01
-7.640000000000000e-01	5.010716e-01
-7.630000000000000e-01	4.931346e-01
-7.620000000000000e-01	4.852432e-01
-7.610000000000000e-01	4.773984e-01
-7.600000000000000e-01	4.696012e-01
-7.590000000000000e-01	4.618526e-01
-7.580000000000000e-01	4.541534e-01
-7.570000000000000e-01	4.465048e-01
-7.560000000000000e-01	4.389077e-01
-7.550000000000000e-01	4.313630e-01
-7.540000000000000e-01	4.238717e-01
-7.530000000000000e-01	4.164347e-01
-7.520000000000000e-01	4.090531e-01
-7.510000000000000e-01	4.017279e-01
-7.500000000000000e-01	3.944598e-01
-7.490000000000000e-01	3.872500e-01
-7.480000000000000e-01	3.800993e-01
