v1	I(D1)
-8.000000000000000e-01	-1.992372e-10
-7.950000000000000e-01	-1.989428e-10
-7.900000000000000e-01	-1.986485e-10
-7.850000000000000e-01	-1.983524e-10
-7.800000000000000e-01	-1.980572e-10
-7.750000000000000e-01	-1.977604e-10
-7.700000000000000e-01	-1.974643e-10
-7.650000000000000e-01	-1.971666e-10
-7.600000000000000e-01	-1.968689e-10
-7.550000000000000e-01	-1.965704e-10
-7.500000000000000e-01	-1.962727e-10
-7.450000000000000e-01	-1.959733e-10
-7.400000000000000e-01	-1.956730e-10
-7.350000000000000e-01	-1.953728e-10
-7.300000000000000e-01	-1.950718e-10
-7.250000000000000e-01	-1.947707e-10
-7.200000000000000e-01	-1.944688e-10
-7.150000000000000e-01	-1.941653e-10
-7.100000000000000e-01	-1.938642e-10
-7.050000000000000e-01	-1.935598e-10
-7.000000000000000e-01	-1.932562e-10
-6.950000000000000e-01	-1.929510e-10
-6.899999999999999e-01	-1.926458e-10
-6.849999999999999e-01	-1.923397e-10
-6.799999999999999e-01	-1.920345e-10
-6.749999999999999e-01	-1.917267e-10
-6.699999999999999e-01	-1.914198e-10
-6.649999999999999e-01	-1.911112e-10
-6.599999999999999e-01	-1.908035e-10
-6.549999999999999e-01	-1.904932e-10
-6.499999999999999e-01	-1.901830e-10
-6.449999999999999e-01	-1.898719e-10
-6.399999999999999e-01	-1.895600e-10
-6.349999999999999e-01	-1.892472e-10
-6.299999999999999e-01	-1.889344e-10
-6.249999999999999e-01	-1.886225e-10
-6.199999999999999e-01	-1.883064e-10
-6.149999999999999e-01	-1.879920e-10
-6.099999999999999e-01	-1.876759e-10
-6.049999999999999e-01	-1.873589e-10
-5.999999999999999e-01	-1.870403e-10
-5.949999999999999e-01	-1.867225e-10
-5.899999999999999e-01	-1.864039e-10
-5.849999999999999e-01	-1.860836e-10
-5.799999999999998e-01	-1.857625e-10
-5.749999999999998e-01	-1.854405e-10
-5.699999999999998e-01	-1.851161e-10
-5.649999999999998e-01	-1.847933e-10
-5.599999999999998e-01	-1.844663e-10
-5.549999999999998e-01	-1.841410e-10
-5.499999999999998e-01	-1.838140e-10
-5.449999999999998e-01	-1.834862e-10
-5.399999999999998e-01	-1.831567e-10
-5.349999999999998e-01	-1.828247e-10
-5.299999999999998e-01	-1.824935e-10
-5.249999999999998e-01	-1.821590e-10
-5.199999999999998e-01	-1.818245e-10
-5.149999999999998e-01	-1.814884e-10
-5.099999999999998e-01	-1.811513e-10
-5.049999999999998e-01	-1.808110e-10
-4.999999999999998e-01	-1.804702e-10
-4.949999999999998e-01	-1.801273e-10
-4.899999999999998e-01	-1.797828e-10
-4.849999999999998e-01	-1.794370e-10
-4.799999999999998e-01	-1.790887e-10
-4.749999999999998e-01	-1.787391e-10
-4.699999999999998e-01	-1.783871e-10
-4.649999999999997e-01	-1.780321e-10
-4.599999999999997e-01	-1.776746e-10
-4.549999999999997e-01	-1.773162e-10
-4.499999999999997e-01	-1.769537e-10
-4.449999999999997e-01	-1.765899e-10
-4.399999999999997e-01	-1.762228e-10
-4.349999999999997e-01	-1.758519e-10
-4.299999999999997e-01	-1.754781e-10
-4.249999999999997e-01	-1.751018e-10
-4.199999999999997e-01	-1.747221e-10
-4.149999999999997e-01	-1.743383e-10
-4.099999999999997e-01	-1.739511e-10
-4.049999999999997e-01	-1.735597e-10
-3.999999999999997e-01	-1.731638e-10
-3.949999999999997e-01	-1.727636e-10
-3.899999999999997e-01	-1.723589e-10
-3.849999999999997e-01	-1.719483e-10
-3.799999999999997e-01	-1.715335e-10
-3.749999999999997e-01	-1.711124e-10
-3.699999999999997e-01	-1.706859e-10
-3.649999999999997e-01	-1.702532e-10
-3.599999999999997e-01	-1.698133e-10
-3.549999999999996e-01	-1.693671e-10
-3.499999999999996e-01	-1.689135e-10
-3.449999999999996e-01	-1.684514e-10
-3.399999999999996e-01	-1.679814e-10
-3.349999999999996e-01	-1.675023e-10
-3.299999999999996e-01	-1.670147e-10
-3.249999999999996e-01	-1.665171e-10
-3.199999999999996e-01	-1.660091e-10
-3.149999999999996e-01	-1.654894e-10
-3.099999999999996e-01	-1.649584e-10
-3.049999999999996e-01	-1.644148e-10
-2.999999999999996e-01	-1.638582e-10
-2.949999999999996e-01	-1.632879e-10
-2.899999999999996e-01	-1.627021e-10
-2.849999999999996e-01	-1.621017e-10
-2.799999999999996e-01	-1.614837e-10
-2.749999999999996e-01	-1.608481e-10
-2.699999999999996e-01	-1.601933e-10
-2.649999999999996e-01	-1.595193e-10
-2.599999999999996e-01	-1.588239e-10
-2.549999999999996e-01	-1.581056e-10
-2.499999999999996e-01	-1.573638e-10
-2.449999999999996e-01	-1.565963e-10
-2.399999999999995e-01	-1.558021e-10
-2.349999999999995e-01	-1.549792e-10
-2.299999999999995e-01	-1.541260e-10
-2.249999999999995e-01	-1.532402e-10
-2.199999999999995e-01	-1.523201e-10
-2.149999999999995e-01	-1.513632e-10
-2.099999999999995e-01	-1.503683e-10
-2.049999999999995e-01	-1.493317e-10
-1.999999999999995e-01	-1.482511e-10
-1.949999999999995e-01	-1.471244e-10
-1.899999999999995e-01	-1.459478e-10
-1.849999999999995e-01	-1.447185e-10
-1.799999999999995e-01	-1.434338e-10
-1.749999999999995e-01	-1.420891e-10
-1.699999999999995e-01	-1.406814e-10
-1.649999999999995e-01	-1.392063e-10
-1.599999999999995e-01	-1.376596e-10
-1.549999999999995e-01	-1.360368e-10
-1.499999999999995e-01	-1.343331e-10
-1.449999999999995e-01	-1.325433e-10
-1.399999999999995e-01	-1.306619e-10
-1.349999999999995e-01	-1.286831e-10
-1.299999999999994e-01	-1.266004e-10
-1.249999999999994e-01	-1.244070e-10
-1.199999999999994e-01	-1.220964e-10
-1.149999999999994e-01	-1.196605e-10
-1.099999999999994e-01	-1.170915e-10
-1.049999999999994e-01	-1.143803e-10
-9.999999999999942e-02	-1.115178e-10
-9.499999999999942e-02	-1.084941e-10
-8.999999999999941e-02	-1.052985e-10
-8.499999999999941e-02	-1.019199e-10
-7.999999999999940e-02	-9.834570e-11
-7.499999999999940e-02	-9.456328e-11
-6.999999999999940e-02	-9.055821e-11
-6.499999999999939e-02	-8.631532e-11
-5.999999999999939e-02	-8.181889e-11
-5.499999999999940e-02	-7.705105e-11
-4.999999999999940e-02	-7.199296e-11
-4.499999999999940e-02	-6.662441e-11
-3.999999999999940e-02	-6.092345e-11
-3.499999999999941e-02	-5.486602e-11
-2.999999999999941e-02	-4.842649e-11
-2.499999999999940e-02	-4.157666e-11
-1.999999999999940e-02	-3.428603e-11
-1.499999999999940e-02	-2.652126e-11
-9.999999999999402e-03	-1.824590e-11
-4.999999999999402e-03	-9.420080e-12
5.984795992119984e-16	1.173305e-24
5.000000000000599e-03	1.006257e-11
1.000000000000060e-02	2.082077e-11
1.500000000000060e-02	3.233346e-11
2.000000000000060e-02	4.466576e-11
2.500000000000060e-02	5.789022e-11
3.000000000000060e-02	7.208759e-11
3.500000000000060e-02	8.734821e-11
4.000000000000060e-02	1.037732e-10
4.500000000000060e-02	1.214764e-10
5.000000000000059e-02	1.405859e-10
5.500000000000059e-02	1.612467e-10
6.000000000000059e-02	1.836224e-10
6.500000000000059e-02	2.078997e-10
7.000000000000059e-02	2.342904e-10
7.500000000000059e-02	2.630366e-10
8.000000000000060e-02	2.944152e-10
8.500000000000060e-02	3.287434e-10
9.000000000000061e-02	3.663858e-10
9.500000000000061e-02	4.077622e-10
1.000000000000006e-01	4.533564e-10
1.050000000000006e-01	5.037275e-10
1.100000000000006e-01	5.595227e-10
1.150000000000006e-01	6.214920e-10
1.200000000000006e-01	6.905061e-10
1.250000000000006e-01	7.675767e-10
1.300000000000006e-01	8.538820e-10
1.350000000000006e-01	9.507940e-10
1.400000000000007e-01	1.059914e-09
1.450000000000007e-01	1.183110e-09
1.500000000000007e-01	1.322567e-09
1.550000000000007e-01	1.480840e-09
1.600000000000007e-01	1.660919e-09
1.650000000000007e-01	1.866307e-09
1.700000000000007e-01	2.101111e-09
1.750000000000007e-01	2.370145e-09
1.800000000000007e-01	2.679060e-09
1.850000000000007e-01	3.034490e-09
1.900000000000007e-01	3.444225e-09
1.950000000000007e-01	3.917420e-09
2.000000000000007e-01	4.464834e-09
2.050000000000007e-01	5.099118e-09
2.100000000000007e-01	5.835152e-09
2.150000000000007e-01	6.690440e-09
2.200000000000007e-01	7.685578e-09
2.250000000000007e-01	8.844812e-09
2.300000000000007e-01	1.019668e-08
2.350000000000007e-01	1.177478e-08
2.400000000000007e-01	1.361870e-08
2.450000000000007e-01	1.577502e-08
2.500000000000007e-01	1.829867e-08
2.550000000000007e-01	2.125430e-08
2.600000000000007e-01	2.471814e-08
2.650000000000007e-01	2.877997e-08
2.700000000000007e-01	3.354560e-08
2.750000000000007e-01	3.913974e-08
2.800000000000007e-01	4.570937e-08
2.850000000000008e-01	5.342773e-08
2.900000000000008e-01	6.249902e-08
2.950000000000008e-01	7.316396e-08
3.000000000000008e-01	8.570633e-08
3.050000000000008e-01	1.004607e-07
3.100000000000008e-01	1.178214e-07
3.150000000000008e-01	1.382536e-07
3.200000000000008e-01	1.623054e-07
3.250000000000008e-01	1.906233e-07
3.300000000000008e-01	2.239695e-07
3.350000000000008e-01	2.632427e-07
3.400000000000008e-01	3.095027e-07
3.450000000000008e-01	3.639990e-07
3.500000000000008e-01	4.282051e-07
3.550000000000008e-01	5.038585e-07
3.600000000000008e-01	5.930079e-07
3.650000000000008e-01	6.980695e-07
3.700000000000008e-01	8.218921e-07
3.750000000000008e-01	9.678354e-07
3.800000000000008e-01	1.139861e-06
3.850000000000008e-01	1.342641e-06
3.900000000000008e-01	1.581683e-06
3.950000000000009e-01	1.863485e-06
4.000000000000009e-01	2.195706e-06
4.050000000000009e-01	2.587380e-06
4.100000000000009e-01	3.049158e-06
4.150000000000009e-01	3.593602e-06
4.200000000000009e-01	4.235520e-06
4.250000000000009e-01	4.992376e-06
4.300000000000009e-01	5.884760e-06
4.350000000000009e-01	6.936950e-06
4.400000000000009e-01	8.177566e-06
4.450000000000009e-01	9.640354e-06
4.500000000000009e-01	1.136509e-05
4.550000000000009e-01	1.339867e-05
4.600000000000009e-01	1.579636e-05
4.650000000000009e-01	1.862329e-05
4.700000000000009e-01	2.195624e-05
4.750000000000009e-01	2.588564e-05
4.800000000000009e-01	3.051804e-05
4.850000000000009e-01	3.597895e-05
4.900000000000009e-01	4.241614e-05
4.950000000000009e-01	5.000360e-05
5.000000000000009e-01	5.894608e-05
5.050000000000009e-01	6.948447e-05
5.100000000000009e-01	8.190203e-05
5.150000000000009e-01	9.653167e-05
5.200000000000009e-01	1.137645e-04
5.250000000000009e-01	1.340594e-04
5.300000000000009e-01	1.579548e-04
5.350000000000009e-01	1.860813e-04
5.400000000000009e-01	2.191771e-04
5.450000000000009e-01	2.581045e-04
5.500000000000009e-01	3.038700e-04
5.550000000000009e-01	3.576455e-04
5.600000000000009e-01	4.207928e-04
5.650000000000009e-01	4.948903e-04
5.700000000000010e-01	5.817618e-04
5.750000000000010e-01	6.835073e-04
5.800000000000010e-01	8.025350e-04
5.850000000000010e-01	9.415935e-04
5.900000000000010e-01	1.103803e-03
5.950000000000010e-01	1.292681e-03
6.000000000000010e-01	1.512169e-03
6.050000000000010e-01	1.766642e-03
6.100000000000010e-01	2.060911e-03
6.150000000000010e-01	2.400214e-03
6.200000000000010e-01	2.790180e-03
6.250000000000010e-01	3.236783e-03
6.300000000000010e-01	3.746268e-03
6.350000000000010e-01	4.325063e-03
6.400000000000010e-01	4.979669e-03
6.450000000000010e-01	5.716557e-03
6.500000000000010e-01	6.542054e-03
6.550000000000010e-01	7.462255e-03
6.600000000000010e-01	8.482954e-03
6.650000000000010e-01	9.609621e-03
6.700000000000010e-01	1.084742e-02
6.750000000000010e-01	1.220128e-02
6.800000000000010e-01	1.367599e-02
6.850000000000011e-01	1.527632e-02
6.900000000000011e-01	1.700723e-02
6.950000000000011e-01	1.887395e-02
7.000000000000011e-01	2.088220e-02
7.050000000000011e-01	2.303825e-02
7.100000000000011e-01	2.534907e-02
7.150000000000011e-01	2.782235e-02
7.200000000000011e-01	3.046656e-02
7.250000000000011e-01	3.329096e-02
7.300000000000011e-01	3.630554e-02
7.350000000000011e-01	3.952101e-02
7.400000000000011e-01	4.294875e-02
7.450000000000011e-01	4.660068e-02
7.500000000000011e-01	5.048928e-02
7.550000000000011e-01	5.462740e-02
7.600000000000011e-01	5.902826e-02
7.650000000000011e-01	6.370527e-02
7.700000000000011e-01	6.867202e-02
7.750000000000011e-01	7.394212e-02
7.800000000000011e-01	7.952913e-02
7.850000000000011e-01	8.544647e-02
7.900000000000011e-01	9.170730e-02
7.950000000000012e-01	9.832442e-02
8.000000000000000e-01	1.053102e-01
